        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.52000000e+02,        +1.414213562373e-01,        +1.447691640360e-01,        +2.447574465730e-03,        +5.583777759134e-03,        -9.568102144638e-02,        +5.578313830906e-03,        -9.571499696856e-02,        +1.414213562373e-01,        +5.583777759135e-03,        -9.568102144638e-02,        +2.119496143670e-01,        -1.449401231490e-03,        -6.293052485101e-02,        -7.408967579087e-03,        +1.414213562373e-01,        +5.578313830908e-03,        -9.571499696856e-02,        -6.293052485101e-02,        -7.408967579088e-03,        +2.118821542562e-01,        -1.484464173752e-03
 1.53000000e+02,        +1.414213562373e-01,        +1.448126215527e-01,        +1.968175857016e-03,        +4.583840117405e-03,        -9.573566744872e-02,        +4.577570716731e-03,        -9.576946365160e-02,        +1.414213562373e-01,        +4.583840117406e-03,        -9.573566744872e-02,        +2.119429153119e-01,        -2.176502739540e-03,        -6.302696241570e-02,        -6.292010714214e-03,        +1.414213562373e-01,        +4.577570716730e-03,        -9.576946365160e-02,        -6.302696241570e-02,        -6.292010714212e-03,        +2.118750818290e-01,        -2.211154288603e-03
 1.54000000e+02,        +1.414213562373e-01,        +1.448462422244e-01,        +1.487681742722e-03,        +3.583077563037e-03,        -9.577889909675e-02,        +3.576003651601e-03,        -9.581249261494e-02,        +1.414213562373e-01,        +3.583077563037e-03,        -9.577889909675e-02,        +2.119267989127e-01,        -2.902968294586e-03,        -6.310558420068e-02,        -5.173637606415e-03,        +1.414213562373e-01,        +3.576003651604e-03,        -9.581249261494e-02,        -6.310558420069e-02,        -5.173637606417e-03,        +2.118586013893e-01,        -2.937208986957e-03
 1.55000000e+02,        +1.414213562373e-01,        +1.448699994076e-01,        +1.006298175818e-03,        +2.581648038741e-03,        -9.581069602756e-02,        +2.573771134823e-03,        -9.584406325288e-02,        +1.414213562373e-01,        +2.581648038740e-03,        -9.581069602755e-02,        +2.119012603131e-01,        -3.628781064634e-03,        -6.316633947479e-02,        -4.054044054282e-03,        +1.414213562373e-01,        +2.573771134823e-03,        -9.584406325288e-02,        -6.316633947479e-02,        -4.054044054284e-03,        +2.118327078452e-01,        -3.662611952938e-03
 1.56000000e+02,        +1.414213562373e-01,        +1.448838711305e-01,        +5.242319414458e-04,        +1.579710113937e-03,        -9.583104084946e-02,        +1.571032305248e-03,        -9.586415792733e-02,        +1.414213562373e-01,        +1.579710113940e-03,        -9.583104084946e-02,        +2.118662877335e-01,        -4.353924113525e-03,        -6.320917468059e-02,        -2.933427111808e-03,        +1.414213562373e-01,        +1.571032305248e-03,        -9.586415792733e-02,        -6.320917468059e-02,        -2.933427111806e-03,        +2.117973891486e-01,        -4.387346773861e-03
 1.57000000e+02,        +1.414213562373e-01,        +1.448878401162e-01,        +4.169043635374e-05,        +5.774229085142e-04,        -9.583991916354e-02,        +5.679468662882e-04,        -9.587276198839e-02,        +1.414213562373e-01,        +5.774229085144e-04,        -9.583991916354e-02,        +2.118218622164e-01,        -5.078380056510e-03,        -6.323403321247e-02,        -1.811985326896e-03,        +1.414213562373e-01,        +5.679468662899e-04,        -9.587276198839e-02,        -6.323403321247e-02,        -1.811985326898e-03,        +2.117526260375e-01,        -5.111396595571e-03
 1.58000000e+02,        +1.414213562373e-01,        +1.448818938037e-01,        -4.411184525872e-04,        -4.250539842589e-04,        -9.583731958273e-02,        -4.353249897259e-04,        -9.586986379258e-02,        +1.414213562373e-01,        -4.250539842617e-04,        -9.583731958273e-02,        +2.117679573549e-01,        -5.802130687759e-03,        -6.324085517506e-02,        -6.899190069111e-04,        +1.414213562373e-01,        -4.353249897230e-04,        -9.586986379258e-02,        -6.324085517506e-02,        -6.899190069142e-04,        +2.116983917629e-01,        -5.834743749587e-03
 1.59000000e+02,        +1.414213562373e-01,        +1.448660243640e-01,        -9.239864706311e-04,        -1.427560575591e-03,        -9.582323374852e-02,        -1.438622657759e-03,        -9.585545471863e-02,        +1.414213562373e-01,        -1.427560575590e-03,        -9.582323374852e-02,        +2.117045390047e-01,        -6.525156575387e-03,        -6.322957712061e-02,        +4.325694844137e-04,        +1.414213562373e-01,        -1.438622657756e-03,        -9.585545471863e-02,        -6.322957712061e-02,        +4.325694844101e-04,        +2.116346517963e-01,        -6.557369347742e-03
 1.60000000e+02,        +1.414213562373e-01,        +1.448402287136e-01,        -1.406705118045e-03,        -2.429936559721e-03,        -9.579765634530e-02,        -2.441785196747e-03,        -9.582952918076e-02,        +1.414213562373e-01,        -2.429936559717e-03,        -9.579765634530e-02,        +2.116315649752e-01,        -7.247436618855e-03,        -6.320013176379e-02,        +1.555275393286e-03,        +1.414213562373e-01,        -2.441785196750e-03,        -9.582952918077e-02,        -6.320013176379e-02,        +1.555275393291e-03,        +2.115613635190e-01,        -7.279252838990e-03
 1.61000000e+02,        +1.414213562373e-01,        +1.448045085229e-01,        -1.889065773503e-03,        -3.432021393091e-03,        -9.576058511219e-02,        -3.444651406619e-03,        -9.579208463956e-02,        +1.414213562373e-01,        -3.432021393096e-03,        -9.576058511219e-02,        +2.115489847018e-01,        -7.968947562770e-03,        -6.315244767241e-02,        +2.677991199326e-03,        +1.414213562373e-01,        -3.444651406617e-03,        -9.579208463956e-02,        -6.315244767241e-02,        +2.677991199322e-03,        +2.114784758895e-01,        -8.000371522514e-03
