        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.55000000e+02,        +7.071067811865e+00,        +7.243499970381e+00,        +5.031490879088e-02,        +1.290824019371e-01,        -4.790534801378e+00,        +1.286885567412e-01,        -4.792203162644e+00,        +7.071067811865e+00,        +1.290824019370e-01,        -4.790534801378e+00,        +1.059506301566e+01,        -1.814390532317e-01,        -3.158316973739e+00,        -2.027022027141e-01,        +7.071067811865e+00,        +1.286885567411e-01,        -4.792203162644e+00,        -3.158316973739e+00,        -2.027022027142e-01,        +1.059163539226e+01,        -1.831305976469e-01
 1.56000000e+02,        +7.071067811865e+00,        +7.244193556524e+00,        +2.621159707229e-02,        +7.898550569685e-02,        -4.791552042473e+00,        +7.855161526239e-02,        -4.793207896367e+00,        +7.071067811865e+00,        +7.898550569698e-02,        -4.791552042473e+00,        +1.059331438668e+01,        -2.176962056762e-01,        -3.160458734029e+00,        -1.466713555904e-01,        +7.071067811865e+00,        +7.855161526238e-02,        -4.793207896366e+00,        -3.160458734029e+00,        -1.466713555903e-01,        +1.058986945743e+01,        -2.193673386930e-01
 1.57000000e+02,        +7.071067811865e+00,        +7.244392005809e+00,        +2.084521817687e-03,        +2.887114542571e-02,        -4.791995958177e+00,        +2.839734331441e-02,        -4.793638099419e+00,        +7.071067811865e+00,        +2.887114542572e-02,        -4.791995958177e+00,        +1.059109311082e+01,        -2.539190028255e-01,        -3.161701660624e+00,        -9.059926634479e-02,        +7.071067811865e+00,        +2.839734331449e-02,        -4.793638099419e+00,        -3.161701660623e+00,        -9.059926634491e-02,        +1.058763130188e+01,        -2.555698297785e-01
 1.58000000e+02,        +7.071067811865e+00,        +7.244094690183e+00,        -2.205592262936e-02,        -2.125269921294e-02,        -4.791865979136e+00,        -2.176624948629e-02,        -4.793493189629e+00,        +7.071067811865e+00,        -2.125269921309e-02,        -4.791865979136e+00,        +1.058839786775e+01,        -2.901065343880e-01,        -3.162042758753e+00,        -3.449595034556e-02,        +7.071067811865e+00,        -2.176624948615e-02,        -4.793493189629e+00,        -3.162042758753e+00,        -3.449595034571e-02,        +1.058491958815e+01,        -2.917371874793e-01
 1.59000000e+02,        +7.071067811865e+00,        +7.243301218202e+00,        -4.619932353155e-02,        -7.137802877956e-02,        -4.791161687426e+00,        -7.193113288797e-02,        -4.792772735931e+00,        +7.071067811865e+00,        -7.137802877951e-02,        -4.791161687426e+00,        +1.058522695023e+01,        -3.262578287694e-01,        -3.161478856031e+00,        +2.162847422068e-02,        +7.071067811865e+00,        -7.193113288779e-02,        -4.792772735931e+00,        -3.161478856031e+00,        +2.162847422050e-02,        +1.058173258982e+01,        -3.278684673871e-01
 1.60000000e+02,        +7.071067811865e+00,        +7.242011435681e+00,        -7.033525590227e-02,        -1.214968279861e-01,        -4.789882817265e+00,        -1.220892598373e-01,        -4.791476459038e+00,        +7.071067811865e+00,        -1.214968279858e-01,        -4.789882817265e+00,        +1.058157824876e+01,        -3.623718309427e-01,        -3.160006588189e+00,        +7.776376966431e-02,        +7.071067811865e+00,        -1.220892598375e-01,        -4.791476459038e+00,        -3.160006588189e+00,        +7.776376966454e-02,        +1.057806817595e+01,        -3.639626419495e-01
 1.61000000e+02,        +7.071067811865e+00,        +7.240225426143e+00,        -9.445328867517e-02,        -1.716010696546e-01,        -4.788029255609e+00,        -1.722325703310e-01,        -4.789604231978e+00,        +7.071067811865e+00,        -1.716010696548e-01,        -4.788029255609e+00,        +1.057744923509e+01,        -3.984473781385e-01,        -3.157622383621e+00,        +1.338995599663e-01,        +7.071067811865e+00,        -1.722325703309e-01,        -4.789604231978e+00,        -3.157622383621e+00,        +1.338995599661e-01,        +1.057392379448e+01,        -4.000185761257e-01
 1.62000000e+02,        +7.071067811865e+00,        +7.237943511088e+00,        -1.185429908921e-01,        -2.216827187037e-01,        -4.785601042622e+00,        -2.223529952793e-01,        -4.787156080513e+00,        +7.071067811865e+00,        -2.216827187037e-01,        -4.785601042622e+00,        +1.057283694476e+01,        -4.344831730107e-01,        -3.154322446639e+00,        +1.900253094549e-01,        +7.071067811865e+00,        -2.223529952794e-01,        -4.787156080513e+00,        -3.154322446639e+00,        +1.900253094549e-01,        +1.056929645448e+01,        -4.360350005015e-01
 1.63000000e+02,        +7.071067811865e+00,        +7.235166250066e+00,        -1.425939379026e-01,        -2.717337361588e-01,        -4.782598372018e+00,        -2.724424603770e-01,        -4.784132183429e+00,        +7.071067811865e+00,        -2.717337361587e-01,        -4.782598372018e+00,        +1.056773795839e+01,        -4.704777538560e-01,        -3.150102739417e+00,        +2.461302985671e-01,        +7.071067811865e+00,        -2.724424603769e-01,        -4.784132183430e+00,        -3.150102739417e+00,        +2.461302985670e-01,        +1.056418270730e+01,        -4.720104814531e-01
 1.64000000e+02,        +7.071067811865e+00,        +7.231894440562e+00,        -1.665957175676e-01,        -3.217460831829e-01,        -4.779021591288e+00,        -3.224928899746e-01,        -4.780532872703e+00,        +7.071067811865e+00,        -3.217460831831e-01,        -4.779021591288e+00,        +1.056214838185e+01,        -5.064294614278e-01,        -3.144958962542e+00,        +3.022035962130e-01,        +7.071067811865e+00,        -3.224928899745e-01,        -4.780532872703e+00,        -3.144958962542e+00,        +3.022035962129e-01,        +1.055857862641e+01,        -5.079433878828e-01
 1.65000000e+02,        +7.071067811865e+00,        +7.228129117687e+00,        -1.905379364618e-01,        -3.717117251255e-01,        -4.774871201789e+00,        -3.724962109443e-01,        -4.776358633537e+00,        +7.071067811865e+00,        -3.717117251255e-01,        -4.774871201789e+00,        +1.055606382514e+01,        -5.423364017733e-01,        -3.138886534163e+00,        +3.582340281742e-01,        +7.071067811865e+00,        -3.724962109443e-01,        -4.776358633537e+00,        -3.138886534163e+00,        +3.582340281741e-01,        +1.055247978604e+01,        -5.438318539624e-01
 1.66000000e+02,        +7.071067811865e+00,        +7.223871553684e+00,        -2.144102260651e-01,        -4.216226355853e-01,        -4.770147858715e+00,        -4.224443565351e-01,        -4.771610104279e+00,        +7.071067811865e+00,        -4.216226355853e-01,        -4.770147858715e+00,        +1.054947938009e+01,        -5.781964044430e-01,        -3.131880567733e+00,        +4.142101408769e-01,        +7.071067811865e+00,        -4.224443565350e-01,        -4.771610104279e+00,        -3.131880567733e+00,        +4.142101408769e-01,        +1.054588123857e+01,        -5.796737372256e-01
 1.67000000e+02,        +7.071067811865e+00,        +7.219123257234e+00,        -2.382022489396e-01,        -4.714708004854e-01,        -4.764852370939e+00,        -4.723292702087e-01,        -4.766288076207e+00,        +7.071067811865e+00,        -4.714708004854e-01,        -4.764852370939e+00,        +1.054238959689e+01,        -6.140069753103e-01,        -3.123935848394e+00,        +4.701201597622e-01,        +7.071067811865e+00,        -4.723292702085e-01,        -4.766288076207e+00,        -3.123935848394e+00,        +4.701201597620e-01,        +1.053877749071e+01,        -6.154665712390e-01
