        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.56800000e+02,        +7.722733937632e-13,        +7.367703222448e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.546564755262e-13,        +7.847036201684e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.536195235764e-13,        +7.847274026615e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.58400000e+02,        +7.731425476093e-13,        +7.358497861959e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.590609154608e-13,        +7.811843194168e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.580324106098e-13,        +7.812087580768e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +7.739810296558e-13,        +7.349352847274e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.634651992709e-13,        +7.778366345368e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.624457362844e-13,        +7.778619267186e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.61600000e+02,        +7.747884271387e-13,        +7.340270655481e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.678743974815e-13,        +7.746661319142e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.668645989586e-13,        +7.746925087757e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.63200000e+02,        +7.755643511109e-13,        +7.331253768789e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.722942613090e-13,        +7.716791949922e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.712947818012e-13,        +7.717069255010e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.64800000e+02,        +7.763084367597e-13,        +7.322304672783e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.767313290858e-13,        +7.688831633883e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.757428598917e-13,        +7.689125589966e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66400000e+02,        +7.770203436857e-13,        +7.313425854561e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.811930511329e-13,        +7.662864969295e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.802163259026e-13,        +7.663179170776e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +7.776997561386e-13,        +7.304619800669e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.856879359525e-13,        +7.638989690841e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.847237372716e-13,        +7.639328277412e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.69600000e+02,        +7.783463832022e-13,        +7.295888994701e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.902257207819e-13,        +7.617318948191e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.892748879443e-13,        +7.617686683355e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.71200000e+02,        +7.789599589218e-13,        +7.287235914424e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.948175695010e-13,        +7.597983983275e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.938810077273e-13,        +7.598386349546e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.72800000e+02,        +7.795402423648e-13,        +7.278663028240e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.994763004158e-13,        +7.581137261515e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.985549918334e-13,        +7.581580576946e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.74400000e+02,        +7.800870176067e-13,        +7.270172790760e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.042166452708e-13,        +7.566956106678e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.033116620282e-13,        +7.567447668605e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +7.806000936368e-13,        +7.261767637309e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.090555383945e-13,        +7.555646871087e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.081680583405e-13,        +7.556195134406e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.77600000e+02,        +7.810793041826e-13,        +7.253449977172e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.140124303939e-13,        +7.547449633871e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.131437557813e-13,        +7.548064432521e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.79200000e+02,        +7.815245074610e-13,        +7.245222185558e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.191096129037e-13,        +7.542643344294e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.182611925546e-13,        +7.543336165567e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.80800000e+02,        +7.819355858779e-13,        +7.237086594444e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.243725275431e-13,        +7.541551191053e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.235459827811e-13,        +7.542335512184e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.82400000e+02,        +7.823124457151e-13,        +7.229045482794e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.298300103210e-13,        +7.544545743956e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.290271646495e-13,        +7.545437438066e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +7.826550168624e-13,        +7.221101067073e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.355143875717e-13,        +7.552053023377e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.347372994358e-13,        +7.553070835590e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.85600000e+02,        +7.829632526690e-13,        +7.213255493406e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.414612846280e-13,        +7.564554020621e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.407122814697e-13,        +7.565720102799e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.87200000e+02,        +7.832371299934e-13,        +7.205510833056e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.477089252334e-13,        +7.582581200970e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.469906352089e-13,        +7.583921671993e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.88800000e+02,        +7.834766495120e-13,        +7.197869082899e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.542965787027e-13,        +7.606706026373e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.536119536103e-13,        +7.608251490908e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.90400000e+02,        +7.836818363096e-13,        +7.190332172094e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.612616463628e-13,        +7.637511400004e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.606139652306e-13,        +7.639297308263e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +7.838527407045e-13,        +7.182901975125e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.686346752149e-13,        +7.675540139808e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.680275123972e-13,        +7.677606800780e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.93600000e+02,        +7.839894391917e-13,        +7.175580329947e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.764313864708e-13,        +7.721207482122e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.758685210438e-13,        +7.723599452178e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.95200000e+02,        +7.840920353260e-13,        +7.168369058552e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.846407272319e-13,        +7.774663423579e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.841259628186e-13,        +7.777427888231e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.96800000e+02,        +7.841606603534e-13,        +7.161269986366e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.932082498425e-13,        +7.835592343360e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.927451083345e-13,        +7.838776017978e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.98400000e+02,        +7.841954734336e-13,        +7.154284956944e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.002015240157e-12,        +7.902948288333e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.001606494971e-12,        +7.906592346600e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +7.841966613865e-13,        +7.147415839519e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.010856528908e-12,        +7.974652379444e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.010503563622e-12,        +7.978785095001e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.01600000e+02,        +7.841644380021e-13,        +7.140664528716e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.019424140894e-12,        +8.047330088375e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.019126170349e-12,        +8.051957412486e-13,        +0.000000000000e+00,        +0.000000000000e+00
