        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.29600000e+02,        +1.414213562373e-01,        +1.288650486370e-01,        +3.951559485819e-03,        +2.325123207428e-02,        -8.207426650085e-02,        +2.330678202979e-02,        -8.202413208101e-02,        +1.414213562373e-01,        +2.325123207428e-02,        -8.207426650085e-02,        +2.155664387749e-01,        +1.503002039190e-02,        -4.832919287439e-02,        -2.914907514897e-02,        +1.414213562373e-01,        +2.330678202979e-02,        -8.202413208101e-02,        -4.832919287439e-02,        -2.914907514897e-02,        +2.155798405851e-01,        +1.516080461935e-02
 1.31200000e+02,        +1.414213562373e-01,        +1.289851161892e-01,        +3.711016365575e-03,        +2.192072386043e-02,        -8.243899051718e-02,        +2.197827922573e-02,        -8.238920552481e-02,        +1.414213562373e-01,        +2.192072386043e-02,        -8.243899051718e-02,        +2.160492797047e-01,        +1.390270843957e-02,        -4.914371791067e-02,        -2.763847315004e-02,        +1.414213562373e-01,        +2.197827922573e-02,        -8.238920552481e-02,        -4.914371791067e-02,        -2.763847315004e-02,        +2.160648068178e-01,        +1.403509476994e-02
 1.32800000e+02,        +1.414213562373e-01,        +1.290977554643e-01,        +3.466411187846e-03,        +2.058392193480e-02,        -8.278167070626e-02,        +2.064349070765e-02,        -8.273229735794e-02,        +1.414213562373e-01,        +2.058392193480e-02,        -8.278167070626e-02,        +2.165000632906e-01,        +1.276434834609e-02,        -4.991278863789e-02,        -2.610657741404e-02,        +1.414213562373e-01,        +2.064349070765e-02,        -8.273229735794e-02,        -4.991278863789e-02,        -2.610657741404e-02,        +2.165177605206e-01,        +1.289827773708e-02
 1.34400000e+02,        +1.414213562373e-01,        +1.292028392037e-01,        +3.217957647759e-03,        +1.924121073253e-02,        -8.310217081310e-02,        +1.930279882158e-02,        -8.305327187149e-02,        +1.414213562373e-01,        +1.924121073253e-02,        -8.310217081310e-02,        +2.169186408487e-01,        +1.161574168399e-02,        -5.063592789023e-02,        -2.455461808754e-02,        +1.414213562373e-01,        +1.930279882158e-02,        -8.305327187149e-02,        -5.063592789024e-02,        -2.455461808754e-02,        +2.169385511897e-01,        +1.175115341202e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.293002462635e-01,        +2.965873523431e-03,        +1.789297875910e-02,        -8.340036217178e-02,        +1.795658995335e-02,        -8.335200086879e-02,        +1.414213562373e-01,        +1.789297875910e-02,        -8.340036217178e-02,        +2.173048736380e-01,        +1.045768296179e-02,        -5.131268229035e-02,        -2.298382920103e-02,        +1.414213562373e-01,        +1.795658995336e-02,        -8.335200086879e-02,        -5.131268229035e-02,        -2.298382920103e-02,        +2.173270382111e-01,        +1.059451467488e-02
 1.37600000e+02,        +1.414213562373e-01,        +1.293898617623e-01,        +2.710380493162e-03,        +1.653961840111e-02,        -8.367612385992e-02,        +1.660525434115e-02,        -8.362836381835e-02,        +1.414213562373e-01,        +1.653961840111e-02,        -8.367612385992e-02,        +2.176586317313e-01,        +9.290959986483e-03,        -5.194262150953e-02,        -2.139544857490e-02,        +1.414213562373e-01,        +1.660525434115e-02,        -8.362836381836e-02,        -5.194262150953e-02,        -2.139544857490e-02,        +2.176830897317e-01,        +9.429147756679e-03
 1.39200000e+02,        +1.414213562373e-01,        +1.294715772229e-01,        +2.451703946483e-03,        +1.518152573032e-02,        -8.392934284699e-02,        +1.524918588160e-02,        -8.388224800067e-02,        +1.414213562373e-01,        +1.518152573032e-02,        -8.392934284699e-02,        +2.179797928697e-01,        +8.116354301723e-03,        -5.252533749589e-02,        -1.979071778570e-02,        +1.414213562373e-01,        +1.524918588160e-02,        -8.388224800067e-02,        -5.252533749589e-02,        -1.979071778570e-02,        +2.180065815129e-01,        +8.255832677148e-03
 1.40800000e+02,        +1.414213562373e-01,        +1.295452907069e-01,        +2.190072789320e-03,        +1.381910030163e-02,        -8.415991413619e-02,        +1.388878192941e-02,        -8.411354864848e-02,        +1.414213562373e-01,        +1.381910030163e-02,        -8.415991413619e-02,        +2.182682412954e-01,        +6.934641707612e-03,        -5.306044366435e-02,        -1.817088219903e-02,        +1.414213562373e-01,        +1.388878192941e-02,        -8.411354864848e-02,        -5.306044366435e-02,        -1.817088219903e-02,        +2.182973957630e-01,        +7.075343764209e-03
 1.42400000e+02,        +1.414213562373e-01,        +1.296109069433e-01,        +1.925719243524e-03,        +1.245274494487e-02,        -8.436774089953e-02,        +1.252444309104e-02,        -8.432216908024e-02,        +1.414213562373e-01,        +1.245274494487e-02,        -8.436774089953e-02,        +2.185238665577e-01,        +5.746592869184e-03,        -5.354757404208e-02,        -1.653719107696e-02,        +1.414213562373e-01,        +1.252444309104e-02,        -8.432216908024e-02,        -5.354757404208e-02,        -1.653719107696e-02,        +2.185554199405e-01,        +5.888450262341e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.296683374494e-01,        +1.658878641051e-03,        +1.108286555096e-02,        -8.455273460593e-02,        +1.115657301242e-02,        -8.450802082649e-02,        +1.414213562373e-01,        +1.108286555096e-02,        -8.455273460593e-02,        +2.187465622831e-01,        +4.552974024215e-03,        -5.398638236102e-02,        -1.489089777109e-02,        +1.414213562373e-01,        +1.115657301242e-02,        -8.450802082649e-02,        -5.398638236102e-02,        -1.489089777109e-02,        +2.187805455226e-01,        +4.695917040521e-03
