        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.29600000e+02,        +7.071067811865e+00,        +6.443252431852e+00,        +1.975779742910e-01,        +1.162561603714e+00,        -4.103713325043e+00,        +1.165339101489e+00,        -4.101206604051e+00,        +7.071067811865e+00,        +1.162561603714e+00,        -4.103713325043e+00,        +1.077832193874e+01,        +7.515010195949e-01,        -2.416459643719e+00,        -1.457453757449e+00,        +7.071067811865e+00,        +1.165339101489e+00,        -4.101206604051e+00,        -2.416459643719e+00,        -1.457453757449e+00,        +1.077899202926e+01,        +7.580402309677e-01
 1.31200000e+02,        +7.071067811865e+00,        +6.449255809462e+00,        +1.855508182788e-01,        +1.096036193022e+00,        -4.121949525859e+00,        +1.098913961287e+00,        -4.119460276240e+00,        +7.071067811865e+00,        +1.096036193022e+00,        -4.121949525859e+00,        +1.080246398524e+01,        +6.951354219786e-01,        -2.457185895534e+00,        -1.381923657502e+00,        +7.071067811865e+00,        +1.098913961287e+00,        -4.119460276240e+00,        -2.457185895534e+00,        -1.381923657502e+00,        +1.080324034089e+01,        +7.017547384972e-01
 1.32800000e+02,        +7.071067811865e+00,        +6.454887773217e+00,        +1.733205593923e-01,        +1.029196096740e+00,        -4.139083535313e+00,        +1.032174535382e+00,        -4.136614867897e+00,        +7.071067811865e+00,        +1.029196096740e+00,        -4.139083535313e+00,        +1.082500316453e+01,        +6.382174173046e-01,        -2.495639431894e+00,        -1.305328870702e+00,        +7.071067811865e+00,        +1.032174535382e+00,        -4.136614867897e+00,        -2.495639431894e+00,        -1.305328870702e+00,        +1.082588802603e+01,        +6.449138868539e-01
 1.34400000e+02,        +7.071067811865e+00,        +6.460141960187e+00,        +1.608978823880e-01,        +9.620605366263e-01,        -4.155108540655e+00,        +9.651399410792e-01,        -4.152663593575e+00,        +7.071067811865e+00,        +9.620605366263e-01,        -4.155108540655e+00,        +1.084593204244e+01,        +5.807870841996e-01,        -2.531796394512e+00,        -1.227730904377e+00,        +7.071067811865e+00,        +9.651399410792e-01,        -4.152663593575e+00,        -2.531796394512e+00,        -1.227730904377e+00,        +1.084692755949e+01,        +5.875576706010e-01
 1.36000000e+02,        +7.071067811865e+00,        +6.465012313175e+00,        +1.482936761716e-01,        +8.946489379552e-01,        -4.170018108589e+00,        +8.978294976677e-01,        -4.167600043440e+00,        +7.071067811865e+00,        +8.946489379552e-01,        -4.170018108589e+00,        +1.086524368190e+01,        +5.228841480895e-01,        -2.565634114517e+00,        -1.149191460051e+00,        +7.071067811865e+00,        +8.978294976678e-01,        -4.167600043440e+00,        -2.565634114517e+00,        -1.149191460051e+00,        +1.086635191056e+01,        +5.297257337439e-01
 1.37600000e+02,        +7.071067811865e+00,        +6.469493088116e+00,        +1.355190246581e-01,        +8.269809200553e-01,        -4.183806192996e+00,        +8.302627170577e-01,        -4.181418190918e+00,        +7.071067811865e+00,        +8.269809200553e-01,        -4.183806192996e+00,        +1.088293158657e+01,        +4.645479993241e-01,        -2.597131075476e+00,        -1.069772428745e+00,        +7.071067811865e+00,        +8.302627170577e-01,        -4.181418190918e+00,        -2.597131075476e+00,        -1.069772428745e+00,        +1.088415448658e+01,        +4.714573878339e-01
 1.39200000e+02,        +7.071067811865e+00,        +6.473578861144e+00,        +1.225851973242e-01,        +7.590762865161e-01,        -4.196467142349e+00,        +7.624592940799e-01,        -4.194112400034e+00,        +7.071067811865e+00,        +7.590762865161e-01,        -4.196467142349e+00,        +1.089898964348e+01,        +4.058177150861e-01,        -2.626266874794e+00,        -9.895358892848e-01,        +7.071067811865e+00,        +7.624592940799e-01,        -4.194112400034e+00,        -2.626266874794e+00,        -9.895358892848e-01,        +1.090032907565e+01,        +4.127916338574e-01
 1.40800000e+02,        +7.071067811865e+00,        +6.477264535345e+00,        +1.095036394660e-01,        +6.909550150815e-01,        -4.207995706809e+00,        +6.944390964706e-01,        -4.205677432424e+00,        +7.071067811865e+00,        +6.909550150815e-01,        -4.207995706809e+00,        +1.091341206477e+01,        +3.467320853806e-01,        -2.653022183217e+00,        -9.085441099516e-01,        +7.071067811865e+00,        +6.944390964705e-01,        -4.205677432424e+00,        -2.653022183217e+00,        -9.085441099516e-01,        +1.091486978815e+01,        +3.537671882105e-01
 1.42400000e+02,        +7.071067811865e+00,        +6.480545347167e+00,        +9.628596217619e-02,        +6.226372472435e-01,        -4.218387044977e+00,        +6.262221545521e-01,        -4.216108454012e+00,        +7.071067811865e+00,        +6.226372472435e-01,        -4.218387044977e+00,        +1.092619332788e+01,        +2.873296434592e-01,        -2.677378702104e+00,        -8.268595538481e-01,        +7.071067811865e+00,        +6.262221545521e-01,        -4.216108454012e+00,        -2.677378702104e+00,        -8.268595538480e-01,        +1.092777099703e+01,        +2.944225131170e-01
 1.44000000e+02,        +7.071067811865e+00,        +6.483416872472e+00,        +8.294393205255e-02,        +5.541432775478e-01,        -4.227636730296e+00,        +5.578286506212e-01,        -4.225401041325e+00,        +7.071067811865e+00,        +5.541432775478e-01,        -4.227636730296e+00,        +1.093732811415e+01,        +2.276487012108e-01,        -2.699319118051e+00,        -7.445448885545e-01,        +7.071067811865e+00,        +5.578286506212e-01,        -4.225401041325e+00,        -2.699319118051e+00,        -7.445448885544e-01,        +1.093902727613e+01,        +2.347958520261e-01
