        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.54000000e+02,        +1.584188380111e-12,        +1.673685936293e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.584537494881e-12,        +1.673494911083e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.584151548595e-12,        +1.673200339841e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.584170910203e-12,        +1.673451328364e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+02,        +1.596911932375e-12,        +1.673391438077e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.597252290646e-12,        +1.673192508075e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.596865569562e-12,        +1.672904225521e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.596888217283e-12,        +1.673153693098e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +1.609092449715e-12,        +1.672580396122e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.609423186259e-12,        +1.672372810669e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.609036292915e-12,        +1.672091182702e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.609062201005e-12,        +1.672339372633e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+02,        +1.620710392886e-12,        +1.671254852862e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.621030642827e-12,        +1.671037880014e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.620644189340e-12,        +1.670763260398e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.620673327448e-12,        +1.671010414826e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +1.631748038965e-12,        +1.669418166431e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.632056942568e-12,        +1.669191096926e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.631671547475e-12,        +1.668923825143e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.631703880789e-12,        +1.669170184377e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+02,        +1.642189486139e-12,        +1.667074932609e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.642486193707e-12,        +1.666837083684e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.642102478705e-12,        +1.666577482855e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.642137968109e-12,        +1.666823284749e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +1.652020639210e-12,        +1.664230899431e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652304316034e-12,        +1.663981618449e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651922902653e-12,        +1.663729993335e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651961504896e-12,        +1.663975472733e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+02,        +1.661229177598e-12,        +1.660892876730e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.661499008912e-12,        +1.660631544578e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.661120515168e-12,        +1.660388179696e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.661162183025e-12,        +1.660633567938e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +1.669804508056e-12,        +1.657068642911e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.670059703950e-12,        +1.656794677135e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669684740991e-12,        +1.656559834998e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669729423437e-12,        +1.656805359493e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+02,        +1.677737704583e-12,        +1.652766851238e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.677977504812e-12,        +1.652479708891e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.677606673618e-12,        +1.652253628393e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.677654315991e-12,        +1.652499512257e-12,        +0.000000000000e+00,        +0.000000000000e+00
