        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.35000000e+02,        +1.414213562373e-01,        +3.648974286907e-02,        +6.878323791689e-02,        -2.023705652151e-03,        -1.119927932156e-03,        +1.414213562373e-01,        -2.023705652157e-03,        -1.119927932143e-03,        +3.664271841634e-02,        +6.896812548489e-02
 1.36000000e+02,        +1.414213562373e-01,        +3.947823092509e-02,        +7.178059529958e-02,        -2.428711753468e-03,        -1.135558313358e-03,        +1.414213562373e-01,        -2.428711753461e-03,        -1.135558313361e-03,        +3.964652919123e-02,        +7.196790491785e-02
 1.37000000e+02,        +1.414213562373e-01,        +4.276985774256e-02,        +7.472404173134e-02,        -2.933551712383e-03,        -1.115507154382e-03,        +1.414213562373e-01,        -2.933551712389e-03,        -1.115507154386e-03,        +4.295473163195e-02,        +7.491288039836e-02
 1.38000000e+02,        +1.414213562373e-01,        +4.641218020620e-02,        +7.757927259147e-02,        -3.565986337161e-03,        -1.033828424779e-03,        +1.414213562373e-01,        -3.565986337177e-03,        -1.033828424771e-03,        +4.661493545008e-02,        +7.776845002892e-02
 1.39000000e+02,        +1.414213562373e-01,        +5.046251979779e-02,        +8.029243551636e-02,        -4.360395618506e-03,        -8.477112758061e-04,        +1.414213562373e-01,        -4.360395618498e-03,        -8.477112758113e-04,        +5.068446549232e-02,        +8.048036957382e-02
 1.40000000e+02,        +1.414213562373e-01,        +5.498713924293e-02,        +8.277794998452e-02,        -5.356385350863e-03,        -4.862245106792e-04,        +1.414213562373e-01,        -5.356385350851e-03,        -4.862245106812e-04,        +5.522948660380e-02,        +8.296254465396e-02
 1.41000000e+02,        +1.414213562373e-01,        +6.005465068449e-02,        +8.489883033272e-02,        -6.591532854854e-03,        +1.680724757440e-04,        +1.414213562373e-01,        -6.591532854860e-03,        +1.680724757419e-04,        +6.031831520540e-02,        +8.507733228728e-02
 1.42000000e+02,        +1.414213562373e-01,        +6.571421275848e-02,        +8.643709426477e-02,        -8.078837330519e-03,        +1.306901061471e-03,        +1.414213562373e-01,        -8.078837330519e-03,        +1.306901061449e-03,        +6.599944274559e-02,        +8.660596749525e-02
 1.43000000e+02,        +1.414213562373e-01,        +7.193771501475e-02,        +8.705822850572e-02,        -9.748121302516e-03,        +3.229177008099e-03,        +1.414213562373e-01,        -9.748121302508e-03,        +3.229177008083e-03,        +7.224343751173e-02,        +8.721318265404e-02
 1.44000000e+02,        +1.414213562373e-01,        +7.849009982983e-02,        +8.630194951517e-02,        -1.131570113934e-02,        +6.346398491448e-03,        +1.414213562373e-01,        -1.131570113931e-02,        +6.346398491479e-03,        +7.881292629258e-02,        +8.643848222162e-02
 1.45000000e+02,        +1.414213562373e-01,        +8.470972665072e-02,        +8.371130094230e-02,        -1.206473777180e-02,        +1.104784725995e-02,        +1.414213562373e-01,        -1.206473777181e-02,        +1.104784725995e-02,        +8.504298760502e-02,        +8.382645025803e-02
 1.46000000e+02,        +1.414213562373e-01,        +8.936837374347e-02,        +7.930786997089e-02,        -1.070707448557e-02,        +1.721731088905e-02,        +1.414213562373e-01,        -1.070707448558e-02,        +1.721731088909e-02,        +8.970281592092e-02,        +7.940364424505e-02
 1.47000000e+02,        +1.414213562373e-01,        +9.120968254155e-02,        +7.432406784116e-02,        -5.926993650922e-03,        +2.349093133547e-02,        +1.414213562373e-01,        -5.926993650929e-03,        +2.349093133545e-02,        +9.153847912360e-02,        +7.441030174314e-02
 1.48000000e+02,        +1.414213562373e-01,        +9.040998503854e-02,        +7.099287242594e-02,        +2.149292410155e-03,        +2.745679154710e-02,        +1.414213562373e-01,        +2.149292410153e-03,        +2.745679154705e-02,        +9.073624334549e-02,        +7.108344358137e-02
 1.49000000e+02,        +1.414213562373e-01,        +8.903253005777e-02,        +7.060240232641e-02,        +1.148745205708e-02,        +2.758517482919e-02,        +1.414213562373e-01,        +1.148745205707e-02,        +2.758517482917e-02,        +8.936966287739e-02,        +7.070498702107e-02
 1.50000000e+02,        +1.414213562373e-01,        +8.917722526641e-02,        +7.236850919707e-02,        +1.996943224315e-02,        +2.433159894375e-02,        +1.414213562373e-01,        +1.996943224317e-02,        +2.433159894373e-02,        +8.954022456984e-02,        +7.247944140759e-02
 1.51000000e+02,        +1.414213562373e-01,        +9.154431326380e-02,        +7.460990982650e-02,        +2.677284729976e-02,        +1.893780323854e-02,        +1.414213562373e-01,        +2.677284729977e-02,        +1.893780323853e-02,        +9.194249479310e-02,        +7.471778021424e-02
