        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.66400000e+02,        +1.414213562373e-01,        +8.084660945280e-02,        +4.133253914870e-02,        -3.610019542804e-02,        -2.040680981247e-02,        +1.414213562373e-01,        -3.610019542806e-02,        -2.040680981253e-02,        +8.146601526970e-02,        +4.147546037860e-02
 1.68000000e+02,        +1.414213562373e-01,        +8.762554887288e-02,        +3.937599500283e-02,        -4.110151113471e-02,        -4.400015614654e-03,        +1.414213562373e-01,        -4.110151113469e-02,        -4.400015614635e-03,        +8.832015549129e-02,        +3.941282290475e-02
 1.69600000e+02,        +1.414213562373e-01,        +8.938850679578e-02,        +3.477680580637e-02,        -3.766841190614e-02,        +1.307828349440e-02,        +1.414213562373e-01,        -3.766841190611e-02,        +1.307828349438e-02,        +9.007819332182e-02,        +3.468428559239e-02
 1.71200000e+02,        +1.414213562373e-01,        +8.552216667241e-02,        +3.364871929303e-02,        -2.577244804820e-02,        +2.565394694495e-02,        +1.414213562373e-01,        -2.577244804823e-02,        +2.565394694498e-02,        +8.613770136599e-02,        +3.348543570560e-02
 1.72800000e+02,        +1.414213562373e-01,        +8.149013378177e-02,        +3.970549227538e-02,        -1.124733015245e-02,        +2.939481698437e-02,        +1.414213562373e-01,        -1.124733015246e-02,        +2.939481698443e-02,        +8.204630335780e-02,        +3.956108158517e-02
 1.74400000e+02,        +1.414213562373e-01,        +8.263550554865e-02,        +5.049526867298e-02,        +3.244636659768e-04,        +2.649854235513e-02,        +1.414213562373e-01,        +3.244636660388e-04,        +2.649854235514e-02,        +8.320989899243e-02,        +5.040717201938e-02
 1.76000000e+02,        +1.414213562373e-01,        +9.012515869204e-02,        +6.174238243175e-02,        +7.580552824247e-03,        +2.088298682744e-02,        +1.414213562373e-01,        +7.580552824264e-03,        +2.088298682743e-02,        +9.079414156081e-02,        +6.168297841165e-02
 1.77600000e+02,        +1.414213562373e-01,        +1.027998039970e-01,        +7.062313700379e-02,        +1.141552168164e-02,        +1.489554818008e-02,        +1.414213562373e-01,        +1.141552168161e-02,        +1.489554818012e-02,        +1.036077277933e-01,        +7.052680500020e-02
 1.79200000e+02,        +1.414213562373e-01,        +1.191092719513e-01,        +7.568147571964e-02,        +1.294424752816e-02,        +9.441886616109e-03,        +1.414213562373e-01,        +1.294424752810e-02,        +9.441886616056e-03,        +1.200629219412e-01,        +7.546729628060e-02
 1.80800000e+02,        +1.414213562373e-01,        +1.375983623616e-01,        +7.612040160422e-02,        +1.294197813390e-02,        +4.784872105277e-03,        +1.414213562373e-01,        +1.294197813385e-02,        +4.784872105268e-03,        +1.386667943764e-01,        +7.570722152076e-02
